-0.08,133
-0.08,140
-0.06,144
-0.04,151
-0.11,132
-0.13,140
-0.11,135
-0.07,133
-0.02,140
-0.09,133
0.05,141
-0.01,136
-0.09,133
-0.1,136
-0.16,136
0.01,141
-0.09,137
-0.07,133
-0.2,136
-0.1,140
0.01,144
-0.06,135
-0.04,135
-0.15,136
-0.14,136
-0.17,133
-0.1,133
-0.06,140
-0.12,137
-0.18,133
-0.07,144
-0.07,137
-0.19,136
-0.12,133
-0.12,129
0,144
0.03,140
0.05,137
0.2,157
0.26,148
0.27,148
0.05,140
0.34,148
0.38,148
0.39,149
0.51,149
0.43,145
0.44,153
0.54,149
0.62,151
0.67,149
0.58,151
0.69,156
0.69,151
0.79,160
0.95,160
0.92,156
1.08,165
1.05,161
1.16,160
1.29,165
1.29,166
1.3,169
1.33,165
1.31,164
1.4,165
1.58,169
1.57,176
1.62,172
1.59,167
1.65,172
1.67,173
1.76,176
1.87,180
1.99,183
2.2,183
2.09,177
2.11,184
1.82,185
2.2,180
2.16,181
2.28,188
2.27,183
2.41,197
2.31,184
2.37,185
2.4,183
2.65,192
2.58,192
2.66,192
2.73,196
2.76,199
2.76,192
3.07,193
2.8,196
2.85,193
2.91,196
2.89,198
3.09,204
2.98,197
3.14,192
3.15,201
3.21,201
3.09,204
3.21,201
3.42,209
3.51,212
3.42,212
3.49,208
3.59,209
3.56,215
3.71,215
3.6,213
3.44,217
3.6,213
3.76,217
3.73,216
3.63,212
3.63,215
3.58,208
3.72,216
3.74,213
3.65,215
3.64,216
3.65,213
3.7,212
3.65,212
3.62,208
3.55,208
3.5,209
3.43,204
3.49,208
3.75,240
3.61,212
3.51,213
3.43,205
3.39,208
3.33,204
3.3,209
3.3,205
3.3,197
3.29,201
3.29,208
3.35,205
3.28,201
3.44,208
3.4,199
3.41,212
3.46,213
3.45,212
3.52,209
3.45,199
3.41,205
3.52,212
3.59,213
3.53,209
3.56,212
3.62,216
3.68,212
3.56,212
3.66,215
3.61,208
3.56,208
3.59,212
3.45,208
3.31,213
3.56,213
3.53,208
3.67,208
3.58,208
3.51,212
3.46,209
3.46,208
3.58,213
3.57,212
